querycode,query,num_ads,num_clicks,num_impressions,num_word,brand,location,log_trans,avg_ad_quality,log_imp,avg_num_ads,categoryid
548,hot jobs,5364,198,682,2,0,0,1.9459101,0.04953872,6.5250297,7.8489736,10
549,yellow book,4389,198,976,2,1,0,3.6888795,0.02284708,6.8834626,4.4846311,10
550,dating,2894,197,366,1,0,0,2.0794415,0.03300949,5.9026333,7.8661202,6
551,tripadvisor,5984,197,924,1,0,0,1.7917595,0.05291442,6.8287121,6.4675325,4
552,diabetes,5623,196,810,1,0,0,1.3862944,0.0347301,6.6970342,6.9246914,12
553,fingerhut,4067,196,594,1,0,0,3.7135721,0.05015752,6.3868793,6.8316498,9
554,stock market,4424,196,566,2,0,0,4.6151205,0.04159146,6.3385941,7.8038869,9
555,zipcodes,2590,196,491,1,0,0,2.1972246,0.06748755,6.1964441,5.2606925,10
556,disney games,11003,195,1583,2,1,0,2.0794415,0.02663175,7.3670771,6.9292483,5
557,posters,3296,195,417,1,1,0,3.2188758,0.05360722,6.0330862,7.853717,6
558,textbooks,2884,195,365,1,0,0,4.1271344,0.07210735,5.8998974,7.8520548,19
559,kodak,4626,194,667,1,1,1,2.3978953,0.04417013,6.50279,6.8995502,13
560,owen wilson,16115,194,3107,2,0,1,0.69314718,0.01601995,8.0414129,5.1847441,3
561,zip code,6038,194,1314,2,0,0,2.3025851,0.02787847,7.1808312,4.585997,10
562,hannah montana,11309,193,2236,2,1,1,1.0986123,0.01662135,7.7124438,5.0478533,3
563,telephone number,1950,193,244,2,0,0,3.0910425,0.07033581,5.4971682,7.8811475,10
564,weightwatchers,2871,193,406,1,0,0,2.3025851,0.0634752,6.0063532,7.0344828,1
565,musica,2455,192,609,1,0,0,1.9459101,0.02001936,6.4118183,3.9819376,15
566,american greetin,788,191,498,2,0,0,2.6390573,0.2339854,6.2106001,1.5662651,6
567,biggest loser,5572,191,701,2,0,0,2.1972246,0.03996654,6.5525079,7.9343795,3
568,boat trader,4941,191,812,2,0,0,2.8332133,0.03210766,6.6995003,6.0566502,2
569,bowflex,3027,191,384,1,1,0,3.2958369,0.06104872,5.9506426,7.8671875,1
